ID,predicted
4026,1
4027,0
4028,1
4029,1
4030,1
4031,1
4032,0
4033,1
4034,0
4035,1
4036,0
4037,1
4038,1
4039,1
4040,0
4041,0
4042,0
4043,1
4044,0
4045,1
4046,1
4047,0
4048,0
4049,0
4050,0
4051,1
4052,1
4053,1
4054,0
4055,1
4056,1
4057,0
4058,1
4059,1
4060,1
4061,1
4062,0
4063,1
4064,0
4065,0
4066,0
4067,1
4068,1
4069,1
4070,1
4071,1
4072,0
4073,1
4074,0
4075,0
4076,1
4077,1
4078,0
4079,0
4080,1
4081,1
4082,1
4083,0
4084,0
4085,0
4086,0
4087,1
4088,1
4089,0
4090,1
4091,1
4092,1
4093,1
4094,1
4095,0
4096,1
4097,0
4098,1
4099,0
4100,1
4101,0
4102,0
4103,0
4104,1
4105,1
4106,1
4107,1
4108,1
4109,0
4110,1
4111,1
4112,0
4113,0
4114,0
4115,1
4116,1
4117,1
4118,0
4119,0
4120,1
4121,0
4122,0
4123,1
4124,1
4125,0
4126,0
4127,0
4128,0
4129,0
4130,0
4131,1
4132,1
4133,1
4134,0
4135,0
4136,0
4137,0
4138,0
4139,1
4140,1
4141,0
4142,1
4143,1
4144,0
4145,0
4146,0
4147,0
4148,1
4149,1
4150,1
4151,0
4152,0
4153,1
4154,0
4155,0
4156,1
4157,0
4158,1
4159,1
4160,0
4161,1
4162,0
4163,1
4164,0
4165,0
4166,1
4167,1
4168,1
4169,0
4170,0
4171,1
4172,1
4173,1
4174,1
4175,0
4176,1
4177,0
4178,0
4179,1
4180,0
4181,0
4182,0
4183,1
4184,0
4185,1
4186,0
4187,0
4188,0
4189,1
4190,0
4191,0
4192,0
4193,1
4194,1
4195,0
4196,1
4197,1
4198,1
4199,0
4200,1
4201,1
4202,0
4203,0
4204,1
4205,0
4206,0
4207,0
4208,1
4209,1
4210,0
4211,1
4212,0
4213,1
4214,0
4215,1
4216,0
4217,1
4218,0
4219,0
4220,1
4221,1
4222,1
4223,1
4224,1
4225,1
4226,0
4227,0
4228,0
4229,0
4230,1
4231,0
4232,0
4233,0
4234,0
4235,1
4236,1
4237,1
4238,0
4239,0
4240,1
4241,0
4242,1
4243,1
4244,1
4245,0
4246,1
4247,0
4248,1
4249,0
4250,1
4251,0
4252,1
4253,0
4254,1
4255,0
4256,1
4257,1
4258,1
4259,1
4260,1
4261,1
4262,0
4263,1
4264,1
4265,1
4266,0
4267,1
4268,0
4269,0
4270,0
4271,0
4272,1
4273,0
4274,1
4275,0
4276,0
4277,0
4278,0
4279,1
4280,0
4281,0
4282,0
4283,1
4284,0
4285,0
4286,1
4287,0
4288,1
4289,0
4290,0
4291,0
4292,1
4293,1
4294,1
4295,0
4296,0
4297,0
4298,0
4299,1
4300,0
4301,0
4302,0
4303,1
4304,0
4305,1
4306,1
4307,1
4308,0
4309,0
4310,0
4311,1
4312,0
4313,0
4314,1
4315,0
4316,0
4317,1
4318,0
4319,1
4320,1
4321,0
4322,1
4323,1
4324,1
4325,0
4326,1
4327,0
